sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
10.4578;0.4588;0.5276;9.7985;0.2448;0.4072;1.253;0.3122;0.1348;-0.2127;-0.0356;-0.0102;51.4025;-27.17;-20.35;-4.51;191.34;-1.43;-87.62;2.0;983.86;35.963;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;2;2023-03-30 16:37:29:437
7.6863;1.7904;-0.9326;9.2995;2.5551;-1.7965;-0.4649;-1.1076;-0.1;0.0134;-0.2943;-0.6596;51.4025;-23.24;-26.16;0.65;185.99;-11.27;-97.99;0.0;983.83;34.964;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;502;2023-03-30 16:37:29:937
5.9713;2.8989;-0.6162;8.8415;3.6309;-2.2094;-2.0518;-0.6216;0.4336;-0.4591;0.109;-0.2911;51.4025;-19.08;-29.1;2.11;189.02;-19.8;-106.02;2.0;983.8;35.736;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;1002;2023-03-30 16:37:30:437
11.0746;0.8674;-0.2405;9.773;0.8014;0.2871;2.9438;0.5392;0.4943;0.2266;0.5877;0.27;88.5775;-25.11;-21.09;-4.79;192.73;-4.69;-88.32;2.0;983.91;34.595;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;1503;2023-03-30 16:37:30:938
10.867;0.3739;0.9589;9.7689;0.8965;0.0445;1.2471;-0.6039;0.2381;-0.1407;0.1626;-0.1526;88.5775;-27.52;-21.79;-5.6;193.94;-1.6;-88.5;2.0;983.85;33.51;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;2002;2023-03-30 16:37:31:437
6.8566;2.3827;-2.5149;9.14;3.1543;-1.6572;-2.3444;-0.9175;0.2418;0.0354;-0.0264;-0.3264;88.5775;-20.56;-28.79;-0.57;192.77;-18.76;-100.28;2.0;983.71;32.013;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;2502;2023-03-30 16:37:31:937
9.5551;2.5801;0.2267;9.4223;2.5683;-0.9274;0.4753;-0.1661;-0.1067;-0.0431;0.4181;0.4888;88.5775;-21.48;-26.77;-2.17;193.99;-18.62;-97.54;2.0;983.75;33.527;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;3002;2023-03-30 16:37:32:437
11.3354;0.8662;-0.5294;9.8018;0.3934;0.0745;1.2243;0.2904;-0.3119;0.0133;0.026;0.1249;81.3763;-26.5;-20.04;-3.99;191.94;-3.03;-89.85;0.0;983.77;32.236;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;3502;2023-03-30 16:37:32:937
8.4449;1.9657;-0.862;9.5832;1.9015;-0.8844;-1.3634;-0.5102;0.4161;0.0457;-0.2436;-0.6127;81.3763;-23.64;-26.49;-1.78;191.35;-11.18;-95.27;0.0;983.85;33.184;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;4002;2023-03-30 16:37:33:437
6.7693;1.8796;0.1454;9.4393;2.5263;-0.8678;-2.5708;-0.7156;1.0624;-0.1923;0.3621;0.3476;81.3763;-23.69;-26.52;-3.49;194.53;-14.92;-95.25;0.0;983.68;33.019;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;4502;2023-03-30 16:37:33:937
11.6375;-0.8991;1.9872;9.6332;-1.3326;1.2889;1.5644;0.3571;0.5418;-0.0392;0.033;0.5767;81.3763;-29.93;-16.24;-9.77;199.59;4.88;-83.63;0.0;983.84;34.423;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;5002;2023-03-30 16:37:34:437
9.2052;-0.3338;2.1356;9.776;-0.4367;0.6889;-0.3293;-0.5355;1.2889;0.151;-0.4826;-0.8021;128.1075;-29.89;-18.37;-8.0;196.89;2.55;-85.97;0.0;983.7;32.894;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;5502;2023-03-30 16:37:34:937
7.5093;1.3896;-0.6706;9.5885;1.9542;-0.6917;-1.4035;-0.4939;0.2842;-0.0101;-0.1263;-0.077;128.1075;-24.91;-26.0;-4.87;197.47;-10.85;-93.64;0.0;983.69;34.801;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;6002;2023-03-30 16:37:35:437
9.8441;0.8387;-0.4863;9.72;1.2391;-0.472;0.5052;-0.0219;0.0712;0.0495;-0.0098;0.2891;112.7588;-26.66;-23.01;-5.42;197.97;-7.26;-92.78;0.0;983.7;35.305;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;6502;2023-03-30 16:37:35:937
11.0058;-0.5904;0.6736;9.7726;-0.6728;0.5296;1.3928;0.2235;0.1235;0.1671;0.0942;0.1689;104.055;-29.44;-16.84;-6.82;195.95;3.93;-86.9;0.0;983.81;35.59;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;7002;2023-03-30 16:37:36:437
8.458;-0.0999;0.679;9.8003;0.4299;-0.0676;-0.8856;-0.5415;0.2423;0.0814;-0.0139;-1.0663;104.055;-28.49;-21.25;-6.05;197.41;-2.51;-90.4;0.0;983.8;35.253;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;7502;2023-03-30 16:37:36:937
7.2718;1.3813;-0.3057;9.6331;1.5553;-1.0103;-1.7616;-0.2804;0.7179;0.171;0.1086;0.0501;104.055;-26.05;-25.03;-3.23;195.43;-9.12;-95.99;0.0;983.68;39.917;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;8002;2023-03-30 16:37:37:437
11.2756;0.3027;1.4847;9.7987;0.4687;0.052;-0.232;-0.4347;-0.6521;-0.0301;0.2378;0.301;104.055;-28.22;-20.47;-5.36;194.59;-2.74;-89.7;0.0;983.7;32.911;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;8502;2023-03-30 16:37:37:937
10.8861;-1.1809;0.6042;9.7116;-1.1516;0.7715;0.951;0.0165;-0.3188;0.0269;-0.0661;-0.0154;104.055;-29.91;-15.8;-7.06;193.05;6.63;-85.26;0.0;983.77;49.487;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;9003;2023-03-30 16:37:38:438
9.7854;-2.7452;1.4698;9.7552;-0.444;0.9352;1.2395;-2.4637;-0.1808;0.783;0.1523;-0.6101;104.055;-28.84;-18.19;-4.34;183.89;4.09;-84.81;0.0;983.66;44.96;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;9503;2023-03-30 16:37:38:938
9.4457;0.725;1.7803;9.6987;0.6525;1.321;-1.9392;0.0785;-0.6337;-1.4549;0.3198;0.4876;104.055;-26.12;-22.3;-3.71;181.29;-3.81;-82.24;0.0;983.71;47.876;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;10003;2023-03-30 16:37:39:438
